127.0.0.1 - - [07/Jan/2020:09:47:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Jan/2020:09:47:27 +0900] "GET /web_html_01/html/e01.html HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:39:50 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:53:09 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:53:09 +0900] "GET /web_html_01/images/house.gif HTTP/1.1" 200 60575
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:53:43 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:56:32 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:56:32 +0900] "GET /web_html_01/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:56:32 +0900] "GET /web_html_01/images/Flower2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:56:51 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:56:51 +0900] "GET /web_html_01/images/Flower2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:06 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:06 +0900] "GET /web_html_01/images/Flower2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:11 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:11 +0900] "GET /web_html_01/images/Flower2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:11 +0900] "GET /web_html_01/images/house.gif HTTP/1.1" 200 60575
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:49 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [07/Jan/2020:10:58:49 +0900] "GET /web_html_01/images/Flowser2.jpg HTTP/1.1" 200 4736
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:03:19 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:03:19 +0900] "GET /web_html_01/images/Flowser2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:03:19 +0900] "GET /web_html_01/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:20:17 +0900] "GET /web_html_01/html/e02.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:20:17 +0900] "GET /web_html_01/images/Flowser2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:20:17 +0900] "GET /web_html_01/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:23:07 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:23:31 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:24:25 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:24:50 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:25:10 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:25:20 +0900] "GET /web_html_01/html/e03.html HTTP/1.1" 200 342
