0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/html/images/2.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/html/images/1.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/html/images/3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:53:36 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 200 17614
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 200 11366
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 200 17884
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:02 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 200 17614
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 200 11366
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 200 17884
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:04 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:05 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:05 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:54:05 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:55:22 +0900] "GET /web_html_01/html/ex2/ex07_standard_exteernal.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:32 +0900] "GET /web_html_01/html/ex2/html/ex07_standard_exteernal.html HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/html/ex2/ex10_embeded.html HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/css/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:11:59:36 +0900] "GET /web_html_01/images/1.jpg HTTP/1.1" 304 -
